
Fri Oct  2 00:22:47.093 MSK
   PCB     VRF-ID     Recv-Q Send-Q  Local Address          Foreign Address
0x12108024 0x60000016      0      0  0.0.0.0:162            0.0.0.0:0             
0x120fe220 0x60000017      0      0  0.0.0.0:162            0.0.0.0:0             
0x121089f4 0x60000018      0      0  0.0.0.0:162            0.0.0.0:0             
0x12109a38 0x60000019      0      0  0.0.0.0:162            0.0.0.0:0             
0x1210bdf8 0x6000001a      0      0  0.0.0.0:162            0.0.0.0:0             
0x1210a7b8 0x6000001b      0      0  0.0.0.0:162            0.0.0.0:0             
0x1210b398 0x6000001c      0      0  0.0.0.0:162            0.0.0.0:0             
0x1210c084 0x6000001d      0      0  0.0.0.0:162            0.0.0.0:0             
0x1210d4e8 0x6000001e      0      0  0.0.0.0:162            0.0.0.0:0             
0x1210dab8 0x6000001f      0      0  0.0.0.0:162            0.0.0.0:0             
0x1210e148 0x60000020      0      0  0.0.0.0:162            0.0.0.0:0             
0x1210e888 0x60000021      0      0  0.0.0.0:162            0.0.0.0:0             
0x1210f328 0x60000022      0      0  0.0.0.0:162            0.0.0.0:0             
0x12110024 0x60000023      0      0  0.0.0.0:162            0.0.0.0:0             
0x121106b4 0x60000024      0      0  0.0.0.0:162            0.0.0.0:0             
0x12110f74 0x60000025      0      0  0.0.0.0:162            0.0.0.0:0             
0x12111834 0x60000026      0      0  0.0.0.0:162            0.0.0.0:0             
0x12113c54 0x60000027      0      0  0.0.0.0:162            0.0.0.0:0             
0x12112434 0x60000028      0      0  0.0.0.0:162            0.0.0.0:0             
0x12112e74 0x60000029      0      0  0.0.0.0:162            0.0.0.0:0             
0x12113734 0x6000002a      0      0  0.0.0.0:162            0.0.0.0:0             
0x12114424 0x6000002b      0      0  0.0.0.0:162            0.0.0.0:0             
0x12114ce4 0x6000002c      0      0  0.0.0.0:162            0.0.0.0:0             
0x12124d10 0x6000002d      0      0  0.0.0.0:162            0.0.0.0:0             
0x12128c2c 0x60000030      0      0  0.0.0.0:162            0.0.0.0:0             
0x121279ec 0x60000031      0      0  0.0.0.0:162            0.0.0.0:0             
0x121281ec 0x60000032      0      0  0.0.0.0:162            0.0.0.0:0             
0x121347b0 0x60000033      0      0  0.0.0.0:162            0.0.0.0:0             
