
 Note: MAC table entries displayed are getting read from software.
 Use the 'hardware-age' keyword to get information related to 'Age' 

 Legend: 
        * - primary entry, G - Gateway MAC, (R) - Routed MAC, O - Overlay MAC
        age - seconds since last seen,+ - primary entry using vPC Peer-Link,
        (T) - True, (F) - False ,  ~~~ - use 'hardware-age' keyword to retrieve age info 
   VLAN     MAC Address      Type      age     Secure NTFY Ports/SWID.SSID.LID
---------+-----------------+--------+---------+------+----+------------------
* 586      506b.8d9b.a9a9    dynamic     ~~~      F    F  Po71
* 586      506b.8d9c.0e0b    dynamic     ~~~      F    F  Po71
* 586      506b.8d9d.0077    dynamic     ~~~      F    F  Po71
* 586      506b.8d9d.18ef    dynamic     ~~~      F    F  Po71
* 586      506b.8d9d.5973    dynamic     ~~~      F    F  Po71
* 586      506b.8d9e.02aa    dynamic     ~~~      F    F  Po71
* 586      506b.8d9e.14ff    dynamic     ~~~      F    F  Po71
* 586      506b.8d9e.4196    dynamic     ~~~      F    F  Po71
* 586      506b.8d9e.e1c4    dynamic     ~~~      F    F  Po71
* 586      506b.8d9f.4deb    dynamic     ~~~      F    F  Po71
* 586      506b.8da1.3fd1    dynamic     ~~~      F    F  Po71
* 586      506b.8da1.bdcb    dynamic     ~~~      F    F  Po71
* 586      506b.8da1.cb02    dynamic     ~~~      F    F  Po71
* 586      506b.8da2.0ee4    dynamic     ~~~      F    F  Po71
* 586      506b.8da4.6332    dynamic     ~~~      F    F  Po71
* 586      506b.8da4.af1f    dynamic     ~~~      F    F  Po71
* 586      506b.8da4.d05f    dynamic     ~~~      F    F  Po71
* 586      506b.8da5.ad88    dynamic     ~~~      F    F  Po71
* 586      506b.8da6.081d    dynamic     ~~~      F    F  Po71
* 586      506b.8da7.0c0f    dynamic     ~~~      F    F  Po71
* 586      506b.8da8.26e0    dynamic     ~~~      F    F  Po71
* 586      506b.8da8.77bd    dynamic     ~~~      F    F  Po71
* 586      506b.8da9.036e    dynamic     ~~~      F    F  Po71
* 586      506b.8da9.615d    dynamic     ~~~      F    F  Po71
* 586      506b.8daa.2de7    dynamic     ~~~      F    F  Po71
* 586      506b.8daa.3e3e    dynamic     ~~~      F    F  Po71
* 586      506b.8daa.5b06    dynamic     ~~~      F    F  Po71
* 586      506b.8daa.d156    dynamic     ~~~      F    F  Po71
* 586      506b.8dab.92ee    dynamic     ~~~      F    F  Po71
* 586      506b.8dac.8168    dynamic     ~~~      F    F  Po71
* 586      506b.8dad.3dd7    dynamic     ~~~      F    F  Po71
* 586      506b.8daf.a5f9    dynamic     ~~~      F    F  Po71
* 586      506b.8daf.d9e3    dynamic     ~~~      F    F  Po71
* 586      506b.8db0.0d6d    dynamic     ~~~      F    F  Po71
* 586      506b.8db0.5dd1    dynamic     ~~~      F    F  Po71
* 586      506b.8db1.ca4b    dynamic     ~~~      F    F  Po71
* 586      506b.8db2.1346    dynamic     ~~~      F    F  Po71
* 586      506b.8db4.288a    dynamic     ~~~      F    F  Po71
* 586      506b.8db4.c245    dynamic     ~~~      F    F  Po71
* 586      506b.8db4.c874    dynamic     ~~~      F    F  Po71
* 586      506b.8db4.fd43    dynamic     ~~~      F    F  Po71
* 586      506b.8db5.9be1    dynamic     ~~~      F    F  Po71
* 586      506b.8db5.e0e5    dynamic     ~~~      F    F  Po71
* 586      506b.8db7.9dcc    dynamic     ~~~      F    F  Po71
* 586      506b.8db8.37f3    dynamic     ~~~      F    F  Po71
* 586      506b.8db8.a090    dynamic     ~~~      F    F  Po71
* 586      506b.8db8.a379    dynamic     ~~~      F    F  Po71
* 586      506b.8dba.69d1    dynamic     ~~~      F    F  Po71
* 586      506b.8dba.78a6    dynamic     ~~~      F    F  Po71
* 586      506b.8dba.cdc4    dynamic     ~~~      F    F  Po71
* 586      506b.8dbb.5b95    dynamic     ~~~      F    F  Po71
* 586      506b.8dbc.0986    dynamic     ~~~      F    F  Po71
* 586      506b.8dbc.c1bd    dynamic     ~~~      F    F  Po71
* 586      506b.8dbe.9aaf    dynamic     ~~~      F    F  Po71
* 586      506b.8dbf.33c6    dynamic     ~~~      F    F  Po71
* 586      506b.8dbf.63ea    dynamic     ~~~      F    F  Po71
* 586      506b.8dbf.73ac    dynamic     ~~~      F    F  Po71
* 586      506b.8dc0.3dcc    dynamic     ~~~      F    F  Po71
* 586      506b.8dc4.55c9    dynamic     ~~~      F    F  Po71
* 586      506b.8dc4.ff47    dynamic     ~~~      F    F  Po71
* 586      506b.8dc5.a04d    dynamic     ~~~      F    F  Po71
* 586      506b.8dc5.affc    dynamic     ~~~      F    F  Po71
* 586      506b.8dc9.248f    dynamic     ~~~      F    F  Po71
* 586      506b.8dc9.2cc5    dynamic     ~~~      F    F  Po71
* 586      506b.8dca.3877    dynamic     ~~~      F    F  Po71
* 586      506b.8dcb.a51f    dynamic     ~~~      F    F  Po71
* 586      506b.8dcc.b636    dynamic     ~~~      F    F  Po71
* 586      506b.8dcd.5a75    dynamic     ~~~      F    F  Po71
* 586      506b.8dce.37f3    dynamic     ~~~      F    F  Po71
* 586      506b.8dce.4849    dynamic     ~~~      F    F  Po71
* 586      506b.8dce.e1ff    dynamic     ~~~      F    F  Po71
* 586      506b.8dcf.1877    dynamic     ~~~      F    F  Po71
* 586      506b.8dcf.4562    dynamic     ~~~      F    F  Po71
* 586      506b.8dcf.a944    dynamic     ~~~      F    F  Po71
